Staffel;Mannschaft;Adresse
KK-01;Heidgraben 3.;Udo-Tesch-Sportpark 1, Uetersener Str. 1 A, 25436 Heidgraben
KK-01;FC Elmshorn 2.;Ramskamp 1 (Elmshorn), Ramskamp 2 A, 25337 Elmshorn
KK-01;Lieth 3.;Klaus-Waskow-Platz, Am Butterberg 10, 25336 Klein Nordende
KK-01;Rantzau 3.;Düsterlohe 1, Düsterlohe 6, 25355 Barmstedt
KK-01;Hörnerkirchen 2.;Hörnerkirchen, Schulweg 3, 25364 Brande-Hörnerkirchen
KK-01;Seestermühe 1.;Seestermuehe, Dorfstr., 25371 Seestermühe
KK-01;Sparrieshoop 2.;Helmut-Gehn-Stadion, Am Rosengarten 4, 25365 Klein Offenseth-Sparrieshoop
KK-01;Heist 2.;Hamburger Strasse (Rasen), Hamburger Str., 25492 Heist
KK-01;Haseldorf 2.;Schloßparkstadion, Kamperrege 3a, 25489 Haseldorf
KK-01;Holsatia im EMTV 1.;Wilhelmshoehe 1 (Rasen), Kaltenweide 232, 25335 Elmshorn
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG;Sportzentrum 1 (Rasen), Am Sportplatz, 25485 Hemdingen
KK-01;TBS Pinneberg 2.;Müßentwiete 1, Müssentwiete, 25421 Pinneberg
KK-01;Gencler Birligi 1.;Stad. Krückaupark (Rasen), Zum Krückaupark 2, 25337 Elmshorn
KK-02;Buxtehude 2.;Jahnstadion 2, An der Rennbahn 1, 21614 Buxtehude
KK-02;Harburger Türk-Sport 2.;Baererstraße, Baererstr. 45 A, 21073 Hamburg
KK-02;GW Harburg 1.;Marienkäferweg, Marienkäferweg 18, 21077 Hamburg
KK-02;FFC 08 2.;Finksweg, Finksweg 82 A, 21129 Hamburg
KK-02;FSV Harburg-Rönneburg 2.;Wilstorfer Höh, Brandesstr. 12, 21079 Hamburg
KK-02;Einigkeit 1.;Dratelnstraße 1, Dratelnstr. 21, 21109 Hamburg
KK-02;RW Wilhelmsburg 2.;Rotenhäuser Damm, Rotenhäuser Damm 94, 21107 Hamburg
KK-02;Viktoria Harburg 2.;Baererstraße, Baererstr. 45 A, 21073 Hamburg
