Staffel;Mannschaft;Breitengrad;Laengengrad;Adresse
KK-01;Heidgraben 3.;53.7009318;9.6778694;Udo-Tesch-Sportpark 1, Uetersener Str. 1 A, 25436 Heidgraben
KK-01;FC Elmshorn 2.;53.7426042;9.6778985;Ramskamp 1 (Elmshorn), Ramskamp 2 A, 25337 Elmshorn
KK-01;Lieth 3.;53.7287735;9.655701;Klaus-Waskow-Platz, Am Butterberg 10, 25336 Klein Nordende
KK-01;Rantzau 3.;53.7894806;9.7549629;Düsterlohe 1, Düsterlohe 6, 25355 Barmstedt
KK-01;Hörnerkirchen 2.;53.8506235;9.7073903;Hörnerkirchen, Schulweg 3, 25364 Brande-Hörnerkirchen
KK-01;Seestermühe 1.;53.7041593;9.5695728;Seestermuehe, Dorfstr., 25371 Seestermühe
KK-01;Sparrieshoop 2.;53.7928448;9.6883628;Helmut-Gehn-Stadion, Am Rosengarten 4, 25365 Klein Offenseth-Sparrieshoop
KK-01;Heist 2.;53.6575164;9.6684612;Hamburger Strasse (Rasen), Hamburger Str., 25492 Heist
KK-01;Haseldorf 2.;53.6345084;9.6045794;Schloßparkstadion, Kamperrege 3a, 25489 Haseldorf
KK-01;Holsatia im EMTV 1.;53.759621;9.667371;Wilhelmshoehe 1 (Rasen), Kaltenweide 232, 25335 Elmshorn
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG;53.7632496;9.8429156;Sportzentrum 1 (Rasen), Am Sportplatz, 25485 Hemdingen
KK-01;TBS Pinneberg 2.;53.6741348;9.7804638;Müßentwiete 1, Müssentwiete, 25421 Pinneberg
KK-01;Gencler Birligi 1.;53.7550668;9.6748608;Stad. Krückaupark (Rasen), Zum Krückaupark 2, 25337 Elmshorn
KK-02;Buxtehude 2.;53.4684784;9.6857003;Jahnstadion 2, An der Rennbahn 1, 21614 Buxtehude
KK-02;Harburger Türk-Sport 2.;53.4531094;9.9807218;Baererstraße, Baererstr. 45 A, 21073 Hamburg
KK-02;GW Harburg 1.;53.4282237;9.9652192;Marienkäferweg, Marienkäferweg 18, 21077 Hamburg
KK-02;FFC 08 2.;53.5356707;9.8748056;Finksweg, Finksweg 82 A, 21129 Hamburg
KK-02;FSV Harburg-Rönneburg 2.;53.444837;9.9986931;Wilstorfer Höh, Brandesstr. 12, 21079 Hamburg
KK-02;Einigkeit 1.;53.501222;10.0019623;Dratelnstraße 1, Dratelnstr. 21, 21109 Hamburg
KK-02;RW Wilhelmsburg 2.;53.5064285;9.9902937;Rotenhäuser Damm, Rotenhäuser Damm 94, 21107 Hamburg
KK-02;Viktoria Harburg 2.;53.4531094;9.9807218;Baererstraße, Baererstr. 45 A, 21073 Hamburg
KK-02;Harburger TB 3.;53.4574254;9.9353381;Jahnhöhe 1, Vahrenwinkelweg 28, 21075 Hamburg
KK-02;Buchholz 3.;53.333842;9.8954326;Sportzentrum Holzweg Platz 1, Holzweg 8 b, 21244 Buchholz in der Nordheide
KK-02;Finkenwerder 2.;53.5356707;9.8748056;Finksweg, Finksweg 82 A, 21129 Hamburg
