Liga;Staffel_Nr;Vereinsname
Kreisklasse;KK-Neu-01;SV Barmbek 1.
Kreisklasse;KK-Neu-01;DJK Hamburg 1.
Kreisklasse;KK-Neu-01;Hamburg Hurricanes 2.
Kreisklasse;KK-Neu-01;Hellbrook 2.
Kreisklasse;KK-Neu-01;DUWO 08 2.
Kreisklasse;KK-Neu-01;Farmsen 1.
Kreisklasse;KK-Neu-01;DSC Hanseat 3.
Kreisklasse;KK-Neu-01;SC FU 1.
Kreisklasse;KK-Neu-01;SV Groß Borstel 2.
Kreisklasse;KK-Neu-01;BU 5.
Kreisklasse;KK-Neu-01;SV Alter Teichweg 1.
Kreisklasse;KK-Neu-01;Polonia 4.
Kreisklasse;KK-Neu-01;VfL 93 2.
Kreisklasse;KK-Neu-01;tus BERNE 2.
Kreisklasse;KK-Neu-01;Bramfeld 5.
Kreisklasse;KK-Neu-02;VfL 93 3.
Kreisklasse;KK-Neu-02;Einigkeit 2.
Kreisklasse;KK-Neu-02;Hamm United 3.
Kreisklasse;KK-Neu-02;Paloma 4.
Kreisklasse;KK-Neu-02;Lorbeer 2.
Kreisklasse;KK-Neu-02;Billstedt-Horn 5.
Kreisklasse;KK-Neu-02;Croatia 2.
Kreisklasse;KK-Neu-02;Störtebeker SV 1.
Kreisklasse;KK-Neu-02;MSV Hamburg 3.
Kreisklasse;KK-Neu-02;Vorw. Wacker 4.
Kreisklasse;KK-Neu-02;SC Hamm 1.
Kreisklasse;KK-Neu-02;Polonia 3.
Kreisklasse;KK-Neu-02;HafenCity 3.
Kreisklasse;KK-Neu-02;UH-Adler 3.
Kreisklasse;KK-Neu-02;FC Preußen Hamburg 1.
Kreisklasse;KK-Neu-03;Nordlichter im NSV 2.
Kreisklasse;KK-Neu-03;Friedrichsgabe 1.
Kreisklasse;KK-Neu-03;tus BERNE 3.
Kreisklasse;KK-Neu-03;Poppenbüttel 2.
Kreisklasse;KK-Neu-03;Hummelsbüttel 1.
Kreisklasse;KK-Neu-03;Condor 4.
Kreisklasse;KK-Neu-03;Bergstedt 2.
Kreisklasse;KK-Neu-03;Farmsen 2.
Kreisklasse;KK-Neu-03;Alstertal-Langenhorn 2.
Kreisklasse;KK-Neu-03;HSV V
Kreisklasse;KK-Neu-03;FC Gregs 1.
Kreisklasse;KK-Neu-03;Stapelfeld 2.
Kreisklasse;KK-Neu-03;Hellbrook 1.
Kreisklasse;KK-Neu-03;Glashütte 2.
Kreisklasse;KK-Neu-03;DUWO 08 1.
Kreisklasse;KK-Neu-04;Hammonia 4.
Kreisklasse;KK-Neu-04;Lohkamp 2.
Kreisklasse;KK-Neu-04;Eintracht Lokstedt 4.
Kreisklasse;KK-Neu-04;Sternschanze 4.
Kreisklasse;KK-Neu-04;Union 03 3.
Kreisklasse;KK-Neu-04;Rissen 2.
Kreisklasse;KK-Neu-04;GW Eimsbüttel 4.
Kreisklasse;KK-Neu-04;Teutonia 10 1.
Kreisklasse;KK-Neu-04;Cosmos Wedel 2.
Kreisklasse;KK-Neu-04;TuS Osdorf 3.
Kreisklasse;KK-Neu-04;Komet Blankenese 1.
Kreisklasse;KK-Neu-04;Groß Flottbek 3.
Kreisklasse;KK-Neu-04;Altona 93 4.
Kreisklasse;KK-Neu-04;FFC 08 2.
Kreisklasse;KK-Neu-04;Hansa 11 3.
Kreisklasse;KK-Neu-05;Lorbeer 3.
Kreisklasse;KK-Neu-05;SC V. M. 4.
Kreisklasse;KK-Neu-05;Willinghusen 2.
Kreisklasse;KK-Neu-05;SVNA 3.
Kreisklasse;KK-Neu-05;Barsbüttel 3.
Kreisklasse;KK-Neu-05;SC Europa 1.
Kreisklasse;KK-Neu-05;Aumühle 3.
Kreisklasse;KK-Neu-05;Concordia 3.
Kreisklasse;KK-Neu-05;ASV Bergedorf 85 3.
Kreisklasse;KK-Neu-05;FC Guine-Bissau
Kreisklasse;KK-Neu-05;Billstedt-Horn 3.
Kreisklasse;KK-Neu-05;MSV Hamburg 1.
Kreisklasse;KK-Neu-05;Tonndorf-Lohe 1.
Kreisklasse;KK-Neu-05;Glinde 3.
Kreisklasse;KK-Neu-05;Oststeinbek 2.
Kreisklasse;KK-Neu-06;Inter Eidelstedt 1.
Kreisklasse;KK-Neu-06;HEBC 4.
Kreisklasse;KK-Neu-06;Eintracht Lokstedt 3.
Kreisklasse;KK-Neu-06;Groß Flottbek 2.
Kreisklasse;KK-Neu-06;Stellingen 1.
Kreisklasse;KK-Neu-06;GW Eimsbüttel 3.
Kreisklasse;KK-Neu-06;Teutonia 10 3.
Kreisklasse;KK-Neu-06;Alsterbrüder 4.
