Liga;Staffel_Nr;Vereinsname
Kreisklasse;KK-Neu-01;Groß Flottbek 3.
Kreisklasse;KK-Neu-01;HFC Falke 2.
Kreisklasse;KK-Neu-01;SV Eidelstedt 4.
Kreisklasse;KK-Neu-01;Altona 93 4.
Kreisklasse;KK-Neu-01;SV Groß Borstel 3.
Kreisklasse;KK-Neu-01;West-Eimsbüttel 2.
Kreisklasse;KK-Neu-01;Lohkamp 2.
Kreisklasse;KK-Neu-01;TuS Osdorf 3.
Kreisklasse;KK-Neu-01;Inter Eidelstedt 1.
Kreisklasse;KK-Neu-01;Stellingen 1.
Kreisklasse;KK-Neu-01;Eintracht Lokstedt 4.
Kreisklasse;KK-Neu-01;Union 03 3.
Kreisklasse;KK-Neu-01;Sternschanze 4.
Kreisklasse;KK-Neu-01;Teutonia 10 2.
Kreisklasse;KK-Neu-01;GW Eimsbüttel 3.
Kreisklasse;KK-Neu-02;Polonia 4.
Kreisklasse;KK-Neu-02;FC Türkiye 2.
Kreisklasse;KK-Neu-02;Juventude 1.
Kreisklasse;KK-Neu-02;Teutonia 10 3.
Kreisklasse;KK-Neu-02;Lorbeer 2.
Kreisklasse;KK-Neu-02;SV Wilhelmsburg 3.
Kreisklasse;KK-Neu-02;Vorwärts Ost 1.
Kreisklasse;KK-Neu-02;HafenCity 2.
Kreisklasse;KK-Neu-02;SC Hamm 1.
Kreisklasse;KK-Neu-02;RW Wilhelmsburg 3.
Kreisklasse;KK-Neu-02;MSV Hamburg 3.
Kreisklasse;KK-Neu-02;Einigkeit 2.
Kreisklasse;KK-Neu-02;Billstedt-Horn 3.
Kreisklasse;KK-Neu-02;Hamm United 3.
Kreisklasse;KK-Neu-02;Störtebeker SV 1.
Kreisklasse;KK-Neu-03;Hansa 11 3.
Kreisklasse;KK-Neu-03;Sternschanze 5.
Kreisklasse;KK-Neu-03;FC Hamburger Berg 1.
Kreisklasse;KK-Neu-03;HEBC 4.
Kreisklasse;KK-Neu-03;Hammonia 4.
Kreisklasse;KK-Neu-03;VfL 93 2.
Kreisklasse;KK-Neu-03;Union 03 2.
Kreisklasse;KK-Neu-03;Teutonia 10 1.
Kreisklasse;KK-Neu-03;Eintracht Lokstedt 3.
Kreisklasse;KK-Neu-03;Alsterbrüder 4.
Kreisklasse;KK-Neu-03;SV Groß Borstel 2.
Kreisklasse;KK-Neu-03;Victoria 5.
Kreisklasse;KK-Neu-03;BLS Hamburg 01 1.
Kreisklasse;KK-Neu-03;GW Eimsbüttel 4.
Kreisklasse;KK-Neu-03;Groß Flottbek 2.
Kreisklasse;KK-Neu-04;Billstedt-Horn 5.
Kreisklasse;KK-Neu-04;SC V. M. 3.
Kreisklasse;KK-Neu-04;ASV Bergedorf 85 3.
Kreisklasse;KK-Neu-04;Willinghusen 2.
Kreisklasse;KK-Neu-04;Aumühle 4.
Kreisklasse;KK-Neu-04;FC Guine-Bissau
Kreisklasse;KK-Neu-04;MSV Hamburg 4.
Kreisklasse;KK-Neu-04;Oststeinbek 2.
Kreisklasse;KK-Neu-04;Lorbeer 1.
Kreisklasse;KK-Neu-04;SC Europa 1.
Kreisklasse;KK-Neu-04;FC Preußen Hamburg 1.
Kreisklasse;KK-Neu-04;ETSV Hamburg 2.
Kreisklasse;KK-Neu-04;SVNA 3.
Kreisklasse;KK-Neu-04;Glinde 3.
Kreisklasse;KK-Neu-04;Vorw. Wacker 4.
Kreisklasse;KK-Neu-05;MSV Hamburg 1.
Kreisklasse;KK-Neu-05;SC V. M. 4.
Kreisklasse;KK-Neu-05;Börnsen 3.
