Staffel;Vereinsname
KK-01;FC Elmshorn 2.
KK-01;Haseldorf 2.
KK-01;Rantzau 3.
KK-01;Sparrieshoop 2.
KK-01;Moorrege 2.
KK-01;Heist 2.
KK-01;TBS Pinneberg 2.
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
KK-01;Hörnerkirchen 2.
KK-01;Gencler Birligi 1.
KK-01;Heidgraben 3.
KK-01;Holsatia im EMTV 1.
KK-01;FC Elmshorn 2.
KK-01;Uetersen 1.
KK-01;Lieth 3.
KK-01;Seestermühe 1.
KK-01;Haseldorf 2.
KK-01;Heidgraben 3.
KK-01;Gencler Birligi 1.
KK-01;Rantzau 3.
KK-01;Seestermühe 1.
KK-01;Hörnerkirchen 2.
KK-01;FC Elmshorn 2.
KK-01;TBS Pinneberg 2.
KK-01;Lieth 3.
KK-01;Heist 2.
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
KK-01;Uetersen 1.
KK-01;Sparrieshoop 2.
KK-01;Haseldorf 2.
KK-01;Holsatia im EMTV 1.
KK-01;Moorrege 2.
KK-02;Buchholz 3.
KK-02;Juventude 1.
KK-02;Einigkeit 1.
KK-02;Buxtehude 2.
KK-02;Viktoria Harburg 2.
KK-02;GW Harburg 1.
KK-02;Harburger Türk-Sport 2.
KK-02;Harburger TB 3.
KK-02;FSV Harburg-Rönneburg 2.
KK-02;Finkenwerder 2.
KK-02;Dersimspor 2.
KK-02;Buchholz 3.
KK-02;Juventude 1.
KK-02;RW Wilhelmsburg 2.
KK-02;FFC 08 2.
KK-02;GW Harburg 1.
KK-02;Juventude 1.
KK-02;Dersimspor 2.
KK-02;Harburger Türk-Sport 2.
KK-02;FFC 08 2.
KK-02;FSV Harburg-Rönneburg 2.
KK-02;Viktoria Harburg 2.
KK-02;Finkenwerder 2.
KK-02;Harburger TB 3.
KK-02;Buchholz 3.
KK-02;Einigkeit 1.
KK-02;Buxtehude 2.
KK-02;RW Wilhelmsburg 2.
KK-03;Aumühle 2.
KK-03;Altengamme 3.
KK-03;TSG Bergedorf 1.
KK-03;Düneberg 2.
KK-03;SC V. M. 3.
KK-03;Börnsen 3.
KK-03;Altengamme 3.
KK-03;Lohbrügge 3.
KK-03;Escheburg 3.
KK-03;Schwarzenbek 3.
KK-03;FSV Geesthacht 2.
KK-03;FC Lauenburg 1.
KK-03;Grünhof-Tesperhude 1.
KK-03;Aumühle 2.
KK-03;SVNA 2.
KK-03;ASV Bergedorf 85 2.
KK-03;Reinbek 2.
KK-03;Hamwarde 2.
KK-03;SVNA 2.
KK-03;FC Lauenburg 1.
KK-03;SC V. M. 3.
KK-03;Altengamme 3.
KK-03;Börnsen 3.
KK-03;Reinbek 2.
KK-03;Grünhof-Tesperhude 1.
KK-03;TSG Bergedorf 1.
KK-03;ASV Bergedorf 85 2.
KK-03;Aumühle 2.
KK-03;Düneberg 2.
KK-03;Schwarzenbek 3.
KK-03;Hamwarde 2.
KK-03;FSV Geesthacht 2.
KK-03;Escheburg 3.
KK-03;Lohbrügge 3.
KK-04;MSV Hamburg 3.
KK-04;Einigkeit 2.
KK-04;FC Türkiye 2.
KK-04;SV Wilhelmsburg 3.
KK-04;Vorwärts Ost 1.
KK-04;RW Wilhelmsburg 3.
KK-04;FC Türkiye 2.
KK-04;Aumühle 3.
KK-04;Indian Football HH 1.
KK-04;HafenCity 2.
KK-04;Bostelbek 2.
KK-04;MSV Hamburg 3.
KK-04;Mesopotamien 2.
KK-04;RW Wilhelmsburg 3.
KK-04;Lorbeer 1.
KK-04;Vorwärts Ost 1.
KK-04;SV Wilhelmsburg 3.
KK-04;Einigkeit 2.
KK-04;Billstedt-Horn 5.
KK-04;Störtebeker SV 1.
KK-04;Mesopotamien 2.
KK-04;Billstedt-Horn 5.
KK-04;Vorwärts Ost 1.
KK-04;Einigkeit 2.
KK-04;Bostelbek 2.
KK-04;Lorbeer 1.
KK-04;HafenCity 2.
KK-04;SV Wilhelmsburg 3.
KK-04;Störtebeker SV 1.
KK-04;MSV Hamburg 3.
KK-04;RW Wilhelmsburg 3.
KK-04;FC Türkiye 2.
KK-04;Indian Football HH 1.
KK-04;Aumühle 3.
KK-05;Hamm United 3.
KK-05;Glinde 3.
KK-05;SVNA 3.
KK-05;SC Hamm 1.
KK-05;Polonia 4.
KK-05;ETSV Hamburg 2.
KK-05;Billstedt-Horn 3.
KK-05;HT 16 2.
KK-05;SC Europa 1.
KK-05;FC Preußen Hamburg 1.
KK-05;ASV Bergedorf 85 3.
KK-05;MSV Hamburg 1.
KK-05;Lorbeer 2.
KK-05;Oststeinbek 2.
KK-05;Aumühle 4.
KK-05;SC V. M. 4.
KK-05;MSV Hamburg 1.
KK-05;SC Europa 1.
KK-05;Billstedt-Horn 3.
KK-05;FC Preußen Hamburg 1.
KK-05;ETSV Hamburg 2.
KK-05;Oststeinbek 2.
KK-05;SC V. M. 4.
KK-05;SVNA 3.
KK-05;ASV Bergedorf 85 3.
KK-05;Polonia 4.
KK-05;Lorbeer 2.
KK-05;HT 16 2.
KK-05;Hamm United 3.
KK-05;SC Hamm 1.
KK-05;Aumühle 4.
KK-05;Glinde 3.
KK-06;SC FU 1.
KK-06;Farmsen 1.
KK-06;Stapelfeld 2.
KK-06;tus BERNE 3.
KK-06;Vorw. Wacker 4.
KK-06;Billstedt-Horn 4.
KK-06;Condor 4.
KK-06;Willinghusen 2.
KK-06;Lorbeer 3.
KK-06;Concordia 3.
KK-06;Polonia 3.
KK-06;Barsbüttel 3.
KK-06;SC FU 1.
KK-06;Concordia 3.
KK-06;Willinghusen 2.
KK-06;tus BERNE 3.
KK-06;Farmsen 1.
KK-06;Barsbüttel 3.
KK-06;Billstedt-Horn 4.
KK-06;Vorw. Wacker 4.
KK-06;Stapelfeld 2.
KK-06;Polonia 3.
KK-06;Lorbeer 3.
KK-06;Condor 4.
KK-07;FC Gregs 1.
KK-07;Farmsen 2.
