Staffel;Vereinsname
KK-01;Sparrieshoop 2.
KK-01;FC Elmshorn 2.
KK-01;Haseldorf 2.
KK-01;Lieth 3.
KK-01;Haseldorf 2.
KK-01;Rantzau 3.
KK-01;Heidgraben 3.
KK-01;Holsatia im EMTV 1.
KK-01;Moorrege 2.
KK-01;Seestermühe 1.
KK-01;FC Elmshorn 2.
KK-01;Heist 2.
KK-01;Sparrieshoop 2.
KK-01;Gencler Birligi 1.
KK-01;TBS Pinneberg 2.
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
KK-01;Lieth 3.
KK-01;Hörnerkirchen 2.
KK-01;Heidgraben 3.
KK-01;Gencler Birligi 1.
KK-01;Rantzau 3.
KK-01;Hörnerkirchen 2.
KK-01;Seestermühe 1.
KK-01;TBS Pinneberg 2.
KK-01;Lieth 3.
KK-01;FC Elmshorn 2.
KK-01;Heist 2.
KK-01;Hemd.-Bilsen/​Kickers Egenbüttel 1.SG
KK-01;Sparrieshoop 2.
KK-01;Haseldorf 2.
KK-01;Holsatia im EMTV 1.
KK-01;Moorrege 2.
KK-02;GW Harburg 1.
KK-02;Harburger Türk-Sport 2.
KK-02;Buxtehude 2.
KK-02;RW Wilhelmsburg 2.
KK-02;Einigkeit 1.
KK-02;Finkenwerder 2.
KK-02;Juventude 1.
KK-02;Buchholz 3.
KK-02;FFC 08 2.
KK-02;Harburger TB 3.
KK-02;Dersimspor 2.
KK-02;FSV Harburg-Rönneburg 2.
KK-02;Viktoria Harburg 2.
KK-02;GW Harburg 1.
KK-02;Juventude 1.
KK-02;Dersimspor 2.
KK-02;Harburger Türk-Sport 2.
KK-02;FFC 08 2.
KK-02;FSV Harburg-Rönneburg 2.
KK-02;Viktoria Harburg 2.
KK-02;Finkenwerder 2.
KK-02;Harburger TB 3.
KK-02;Buchholz 3.
KK-02;Einigkeit 1.
KK-02;Buxtehude 2.
KK-02;RW Wilhelmsburg 2.
KK-03;TSG Bergedorf 1.
KK-03;Schwarzenbek 3.
KK-03;Lohbrügge 3.
KK-03;FSV Geesthacht 2.
KK-03;Aumühle 2.
KK-03;SC V. M. 3.
KK-03;Reinbek 2.
KK-03;Escheburg 3.
KK-03;Börnsen 3.
KK-03;SVNA 2.
KK-03;ASV Bergedorf 85 2.
KK-03;TSG Bergedorf 1.
KK-03;Düneberg 2.
KK-03;Altengamme 3.
KK-03;FC Lauenburg 1.
KK-03;Hamwarde 2.
KK-03;Schwarzenbek 3.
KK-03;Grünhof-Tesperhude 1.
KK-03;SVNA 2.
KK-03;FC Lauenburg 1.
KK-03;SC V. M. 3.
KK-03;Altengamme 3.
KK-03;Börnsen 3.
KK-03;Reinbek 2.
KK-03;Grünhof-Tesperhude 1.
KK-03;TSG Bergedorf 1.
